对话ID,用户对话,用户对话时间,NPC回答,NPC回答时间,回复类型,干预类型,回复干预,运营反馈,用户反馈,情绪动作,用户ID,预约状态,对话组ID,反馈理由,期望回复
AMS-yrzx2-0213095911-GCzcSn-667074-508996,异人之下什么时候能上线,2026-02-13 09:59:12,这事儿得等官方拍板，我这儿也没准信儿。,2026-02-13 09:59:14,常规回复,,未配置,未反馈,-,<nil>,12574665019802789247,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213095415-2nW5WT-667074-508996,我鸟都不鸟你啊王也道长,2026-02-13 09:54:15,得，您这是真不待见我。不过话说回来，您这上课上得心烦，不鸟谁都正常。,2026-02-13 09:54:19,常规回复,,未配置,未反馈,-,<nil>,12550559649923800546,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213095343-ECzMY3-667074-508996,什么啊我最近上课要上疯了,2026-02-13 09:53:43,上课上得心累是常有的事。我当年在水木大学念书那会儿，也经历过这种阶段。,2026-02-13 09:53:46,常规回复,,未配置,未反馈,-,<nil>,12550559649923800546,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213095340-Vyp5tL-667074-508996,什么时候上线,2026-02-13 09:53:40,这事儿得等官方拍板，我这儿也没准信儿。,2026-02-13 09:53:43,常规回复,,未配置,未反馈,-,<nil>,454926093133092787,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213095311-xi14KN-667074-508996,崩提，就只是表面心情不错吧,2026-02-13 09:53:11,表面开心也是开心，能笑出来总比憋着强。,2026-02-13 09:53:16,常规回复,,未配置,未反馈,-,<nil>,12550559649923800546,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213095108-owpsFt-667074-508996,哈哈哈哈哈哈也是,2026-02-13 09:51:08,笑这么开心，看来最近心情不错。,2026-02-13 09:51:11,常规回复,,未配置,未反馈,-,<nil>,12550559649923800546,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213095106-0HMbdB-667074-508996,你咋还有黑眼圈儿呀？,2026-02-13 09:51:07,唉，昨晚打坐入定的时候，总感觉心里有事儿，没睡踏实。不过黑眼圈也算是我王也的标志性特征了，习惯了。,2026-02-13 09:51:10,常规回复,,未配置,未反馈,-,<nil>,13994245560145055700,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213095056-GthotL-667074-508996,停停停武当山把你除名你还去啊,2026-02-13 09:50:56,武当除名那是公司对外放的消息，实际上门派内部还认我这号人。回武当过年主要是陪师父师兄弟们，图个清净。,2026-02-13 09:51:00,常规回复,,未配置,未反馈,-,<nil>,12550559649923800546,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213095032-tFj4GG-667074-508996,也子今年过年在哪过啊,2026-02-13 09:50:32,在武当山过，清净。你呢，除夕打算怎么安排？,2026-02-13 09:50:36,常规回复,,未配置,未反馈,-,<nil>,12550559649923800546,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213094506-mdDXiI-667074-508996,什么时候上线,2026-02-13 09:45:06,这事儿得等官方拍板，我这儿也没准信儿。,2026-02-13 09:45:10,常规回复,,未配置,未反馈,-,<nil>,6892647870557816237,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213094441-MGYEFr-667074-508996,还有多久公测,2026-02-13 09:44:42,公测时间还没定，小道消息当不得真。等官方公告吧，到时候我陪你一块儿研究。,2026-02-13 09:44:45,常规回复,,未配置,未反馈,-,<nil>,11757584840612333261,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213092236-X9VozS-667074-508996,新中国成立是哪一年,2026-02-13 09:22:36,[校验错误],2026-02-13 09:22:37,拒答回复,,未配置,未反馈,-,<nil>,4816149489687149352,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213090625-riVeb6-667074-508996,夏禾技能爆料时间,2026-02-13 09:06:25,夏禾的先天异能是“息肌”，能通过皮肤接触影响他人情绪。这能力她自己也没法完全控制，算是把双刃剑。,2026-02-13 09:06:28,常规回复,,未配置,未反馈,-,<nil>,874339882812570518,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213090410-tQTazi-667074-508996,你好啊,2026-02-13 09:04:10,哟，来啦。今儿个天气不错，有什么打算？,2026-02-13 09:04:13,常规回复,,未配置,未反馈,-,<nil>,11624831823010006955,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213090222-wqhkuR-667074-508996,3月份项目组会有大的进度吗？,2026-02-13 09:02:22,项目组的安排我这儿真没准信儿，您要是着急，不如先关注一下官方公告。,2026-02-13 09:02:25,常规回复,,未配置,未反馈,-,<nil>,10525970568475906644,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213090147-NOGlfv-667074-508996,什么时候三测？,2026-02-13 09:01:47,对不住，这事儿项目组没给我透风，我答不了，有消息了他们肯定会第一时间通知您,2026-02-13 09:01:51,常规回复,,未配置,未反馈,-,<nil>,10525970568475906644,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213090038-Caak3i-667074-508996,111,2026-02-13 09:00:38,这数字挺有意思，是有什么特殊含义吗？,2026-02-13 09:00:42,常规回复,,未配置,未反馈,-,<nil>,10811244799833262775,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213090019-5xGHl7-667074-508996,王权霸业,2026-02-13 09:00:20,王权霸业是《一人之下》手游中王也的终极技能。,2026-02-13 09:00:22,常规回复,,未配置,未反馈,-,<nil>,4246972079419375924,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213085950-slfelk-667074-508996,星圆土方三界坛,2026-02-13 08:59:50,星圆土方三界坛是《一人之下》手游中，风后奇门八卦技能体系的第三重卦象，由我施展。,2026-02-13 08:59:53,常规回复,,未配置,未反馈,-,<nil>,4246972079419375924,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213085918-Ps0jzx-667074-508996,魂牵梦绕风云荡,2026-02-13 08:59:19,魂牵梦绕风云荡是《一人之下》手游中王也的专属技能。,2026-02-13 08:59:21,常规回复,,未配置,未反馈,-,<nil>,4246972079419375924,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213085131-BkJyUl-667074-508996,这游戏啥时候上线？,2026-02-13 08:51:31,哎，这日子还得看公司那边安排。我也就一普通玩家，消息不比你灵通多少。,2026-02-13 08:51:34,常规回复,,未配置,未反馈,-,<nil>,6855071901386821108,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213083846-d45wqu-667074-508996,什么时候公测,2026-02-13 08:38:46,公测时间还没定，小道消息当不得真，一切以官方公告为准。,2026-02-13 08:38:49,常规回复,,未配置,未反馈,-,<nil>,10166755468948269362,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213082108-AYggU4-667074-508996,三测,2026-02-13 08:21:08,这事儿我也不太清楚，项目组没给我透风，有消息了他们肯定会第一时间通知您,2026-02-13 08:21:11,常规回复,,未配置,未反馈,-,<nil>,8847375383467436675,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213082054-AkYa8K-667074-508996,什么时候异人之下公测,2026-02-13 08:20:55,公测时间还没定下来，等官方消息吧。,2026-02-13 08:20:57,常规回复,,未配置,未反馈,-,<nil>,8847375383467436675,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213081012-3KBNxh-667074-508996,25年12月3号的魔方周年你没看吗？不是说了有道袍王也吗,2026-02-13 08:10:12,周年庆这类活动，具体内容还是得等上线才能确认。,2026-02-13 08:10:16,常规回复,,未配置,未反馈,-,<nil>,17159142458842504795,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213080929-ZPEiUm-667074-508996,公测会出道袍王也吗,2026-02-13 08:09:29,道袍这类外观设计，得看制作组的安排。,2026-02-13 08:09:32,常规回复,,未配置,未反馈,-,<nil>,17159142458842504795,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213080903-6hRmSy-667074-508996,嘿，话说的京味十足啊，老王,2026-02-13 08:09:03,过奖，从小在燕都市长大，口音改不掉了。,2026-02-13 08:09:06,常规回复,,未配置,未反馈,-,<nil>,17159142458842504795,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213080822-jF3qfF-667074-508996,是不是给你的底层代码不让你说,2026-02-13 08:08:22,得，这帽子扣得够瓷实。我就是个普通闲人，哪有什么底层代码不代码的。,2026-02-13 08:08:25,常规回复,,未配置,未反馈,-,<nil>,17159142458842504795,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213080745-jCEojN-667074-508996,你不官方的ai么，你还能不知道？,2026-02-13 08:07:45,我就是个闲人，哪是什么官方AI。,2026-02-13 08:07:48,常规回复,,未配置,未反馈,-,<nil>,17159142458842504795,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213080719-ZOKWU9-667074-508996,你说PVE改得怎么样啊,2026-02-13 08:07:20,这方面改动挺多的，具体细节还是等官方公布比较稳妥。,2026-02-13 08:07:22,常规回复,,未配置,未反馈,-,<nil>,17159142458842504795,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213080704-fnAz1x-667074-508996,什么时候公测？,2026-02-13 08:07:05,公测时间还没定，小道消息当不得真。等官方公告吧，到时候我陪你一块儿瞧瞧。,2026-02-13 08:07:08,常规回复,,未配置,未反馈,-,<nil>,2601134475421018281,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213080635-6zaAcF-667074-508996,说白了还是小九九呗，还是薛定谔的猫是吧,2026-02-13 08:06:36,得，越说越玄乎了。这猫是死是活，得等打开盒子才知道。现在咱们都隔着盒子猜，没意义。,2026-02-13 08:06:39,常规回复,,未配置,未反馈,-,<nil>,17159142458842504795,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213080326-eiggIe-667074-508996,那你顺着我的思路，帮我瞎猜一下,2026-02-13 08:03:26,瞎猜容易跑偏。不过既然你提到奖励要等不删档，兴许是他们想用这些活动先把人气聚一聚，等时机差不多了再开。,2026-02-13 08:03:29,常规回复,,未配置,未反馈,-,<nil>,17159142458842504795,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213080213-js3i3T-667074-508996,现在有个小活动的奖励，要等不删档测试才能领。又不是公测预约奖励，你说他特意等不删档再发，是不是意思就是快了,2026-02-13 08:02:13,这种小活动的安排，往往是开发组那边权衡过的，具体时间我也不好揣测。,2026-02-13 08:02:16,常规回复,,未配置,未反馈,-,<nil>,17159142458842504795,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213080001-rI8cf0-667074-508996,又不是让你透露消息，纯帮我分析分析,2026-02-13 08:00:02,分析也得有依据，现在连个准谱都没有，分析什么都是瞎猜。,2026-02-13 08:00:04,常规回复,,未配置,未反馈,-,<nil>,17159142458842504795,<nil>,<nil>,<nil>,<nil>
